Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_descendingmarkersize10_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,10,0.9977040584690104,0.3533315658569336,0.9976726654692035,0.3500678539276123,0.997189848469365,0.7257719039916992,0.997745547325894,0.3849825859069824,0.9975829829294904,9.735095739364624,0.9977546362722629,0.40014052391052246,0.9995871045110769,0.37357115745544434,0.9970074085015075,0.3960587978363037,0.9997424061199462,0.4191567897796631,0.9987407882966305,3.0057811737060547,0.9989461708176179,0.458587646484375,0.9995661552936554,0.39864516258239746,1.0,0.185516357421875,20,0.14075708389282227,0.0,0.13047480583190918,0.025244401009099155,0.07392644882202148,13.647498962753744,0.012053966522216797,0.0022383074051792263,14.476873636245728,0,0,[]
figure_descendingmarkersize20_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,20,0.9141251992095332,0.3756277561187744,0.9295061484929888,0.3445403575897217,0.9937484553630263,0.8061301708221436,0.921371293580347,0.4221525192260742,0.9314107499226099,0.4455080032348633,0.9518631107705072,10.989862442016602,0.9838929585418578,0.42649412155151367,0.8830252083875956,0.40847182273864746,0.8141757848488298,0.4079296588897705,0.915012242887109,3.290379762649536,0.923210412098404,0.41121864318847656,0.9331819302243071,0.4379255771636963,1.0,0.15822577476501465,150,0.14287114143371582,0.0,0.1335585117340088,0.025244401009099155,0.07993054389953613,13.647498962753744,0.015117645263671875,-,15,0,0,[]
figure_descendingmarkersize50_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,50,0.7672861861432815,0.421781063079834,0.7997875345868187,0.366011381149292,0.9711449310264866,0.7835490703582764,0.7834391253189557,0.3679201602935791,0.8074269195441188,0.40821146965026855,0.8567278341598157,0.3836357593536377,0.9354527569900887,0.4350550174713135,0.72636029371301,10.374288320541382,0.5545542627960657,0.41399478912353516,0.7699202657667846,3.111618757247925,0.7746927285276386,0.4402134418487549,0.8067287271950565,0.4131767749786377,1.0,0.22545790672302246,1044,0.1576094627380371,0.0,0.16048765182495117,0.025244401009099155,0.0707540512084961,13.647498962753744,0.005161762237548828,-,15,0,0,[]
figure_category_basedmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.9945362672783307,0.3281564712524414,0.9948252259847679,0.3229541778564453,0.9957820543081354,0.6114671230316162,0.9951955483684466,0.38216471672058105,0.9951269996704624,0.38314318656921387,0.9952525857627269,0.3691272735595703,0.9989254120023763,0.4010295867919922,0.9949907222307637,0.3889279365539551,0.9913690547224202,10.242990255355835,0.9945131557802447,3.2214467525482178,0.9943561224620917,0.42711353302001953,0.9981293678090344,0.4260284900665283,1.0,0.1343848705291748,41,0.12471199035644531,0.0,0.14951658248901367,0.025133109656949173,0.08182883262634277,9.918306084462484,0.0048906803131103516,0.003204768491196256,14.681488513946533,0,0,[]
figure_category_basedmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.9851945875353668,0.3829784393310547,0.985483688407743,0.372894287109375,0.9854739814491965,0.6168413162231445,0.9853399784089674,0.3795356750488281,0.9853540167490484,0.33350396156311035,0.9855066884209756,0.32827305793762207,0.9945938043068608,0.3659372329711914,0.985708396529686,0.32122802734375,0.98397930456534,0.32950806617736816,0.9846548469076356,11.073367595672607,0.9846507948125457,0.34337925910949707,0.9923634740857736,0.3558955192565918,1.0,0.2557375431060791,262,0.16501665115356445,0.0,0.17256832122802734,0.025133109656949173,0.1011965274810791,9.918306084462484,0.010693550109863281,-,15,0,0,[]
figure_category_basedmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.9483660570278476,0.35901546478271484,0.9485527874862176,0.40461111068725586,0.944652968905435,0.6082658767700195,0.9474421174558796,0.44881582260131836,0.9474610723549648,0.40871596336364746,0.9475432083024014,0.3691282272338867,0.9694409732157822,0.37094783782958984,0.9507818980910279,0.4057326316833496,0.9559899474852197,0.3876197338104248,0.9468764666224159,3.916623830795288,0.9472850385014991,0.3844797611236572,0.957973946481016,10.419718027114868,1.0,0.20732831954956055,2109,0.14470148086547852,0.0,0.12999343872070312,0.025133109656949173,0.07409930229187012,9.918306084462484,0.00409245491027832,-,15,0,0,[]
figure_ascendingmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.9945648021394198,0.3585774898529053,0.9948343372464308,0.3186004161834717,0.9956429436611435,0.5832874774932861,0.9952258183458677,0.34986186027526855,0.995142128682923,0.3030998706817627,0.9952602241431899,0.35219240188598633,0.9989254120023763,0.36348938941955566,0.9950162504357464,0.3850996494293213,0.9914371792546337,0.3755350112915039,0.9945008153014476,3.7437448501586914,0.9943942385231249,0.454740047454834,0.9981479975154702,0.41164326667785645,1.0,10.035717248916626,41,0.09812092781066895,0.0,0.11137151718139648,0.025133109656949173,0.06585049629211426,9.918306084462484,0.013151168823242188,0.003204768491196256,14.620680093765259,0,0,[]
figure_ascendingmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.9853138251025476,0.36717748641967773,0.9855286411741351,0.36107802391052246,0.98503670299886,0.5571722984313965,0.9854694252696731,0.39263463020324707,0.9854147791858059,0.32216858863830566,0.9855418731740048,0.3692207336425781,0.9945938043068608,0.3479881286621094,0.9858147626596349,0.42481160163879395,0.9842479445253159,0.38555431365966797,0.9846399965675942,3.315775156021118,0.984675606797985,0.34633350372314453,0.9923012778667808,0.42371129989624023,1.0,0.17445135116577148,262,0.1443331241607666,0.0,11.282740831375122,0.025133109656949173,0.08050799369812012,9.918306084462484,0.00599980354309082,0.005400874930150981,14.986884117126465,0,0,[]
figure_ascendingmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.9493046358485435,0.3777930736541748,0.9487449797568482,0.3375403881072998,0.9429480667287369,0.644059419631958,0.9483439850986692,0.40412211418151855,0.9478725144821722,0.3683185577392578,0.9477896511228675,0.4121222496032715,0.9693826462019455,0.38040661811828613,0.9515221215863615,0.38753652572631836,0.9578593526110878,0.362865686416626,0.9474621975837879,3.7331063747406006,0.9475705530528064,0.434708833694458,0.9590582645254192,0.3786637783050537,1.0,0.1750659942626953,2109,0.11422443389892578,0.0,0.12581372261047363,0.025133109656949173,0.0654599666595459,9.918306084462484,0.004106760025024414,-,15,0,0,[]
figure_descendingmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.9945023866195026,0.3499622344970703,0.994809250566158,0.328449010848999,0.9957977501695779,0.5462663173675537,0.9951740130946486,0.3392007350921631,0.9951201617657364,0.319366455078125,0.9952509151816465,0.32732319831848145,0.9989254120023763,0.3633542060852051,0.9949941393304743,0.3436708450317383,0.9912829541844498,0.3674921989440918,0.9944438396900108,3.4419054985046387,0.9942744596055804,0.462815523147583,0.9983286227362813,0.41129040718078613,1.0,0.10722684860229492,41,0.14894914627075195,0.0,0.09510207176208496,0.02513310965694917,0.07283496856689453,9.918306084462484,0.004057407379150391,0.003204768491196256,14.9848473072052,0,0,[]
figure_descendingmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.9849699386405778,0.32355785369873047,0.9854470163264871,10.419777154922485,0.9858621967417753,0.6629941463470459,0.9851536133805093,0.39501070976257324,0.9852711015073533,0.3921933174133301,0.9854796992862239,0.3778514862060547,0.9945938043068608,0.37020325660705566,0.9854704206826526,0.38167572021484375,0.9835995562971521,0.39748144149780273,0.9843013932337642,3.2827908992767334,0.9843487483756592,0.4290039539337158,0.9926226805665197,0.44469261169433594,1.0,0.14571118354797363,262,0.14290237426757812,0.0,0.11373186111450195,0.02513310965694917,0.0934898853302002,9.918306084462484,0.004336357116699219,0.005400874930150981,14.79025936126709,0,0,[]
figure_descendingmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.9472765707322018,0.3677065372467041,0.9484340821870003,0.35696887969970703,0.9460366482756197,0.6822733879089355,0.9464748761016455,10.482641458511353,0.9470534809011459,0.35978150367736816,0.9473660658193377,0.3743736743927002,0.9694620950640417,0.3939628601074219,0.9498473004208104,0.3316469192504883,0.9546594650537836,0.42615723609924316,0.9456420118104709,3.2094154357910156,0.9463681672574793,0.3964686393737793,0.957045303426046,0.38401007652282715,1.0,0.19503498077392578,2109,0.14386963844299316,0.0,0.12191438674926758,0.02513310965694917,0.09390521049499512,9.918306084462484,0.011023283004760742,-,15,0,0,[]
figure_category_basedmarkersize10_n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,500,3,10,0.9970735505535725,0.3620030879974365,0.9977069493050267,0.37282896041870117,0.9983147943015773,0.6545021533966064,0.9971010753317022,0.4096486568450928,0.9974462096771847,10.392137289047241,0.9975249771602952,0.3469569683074951,0.9995406269371734,0.34998154640197754,0.997127763608814,0.34399962425231934,0.9982362589000588,0.40735888481140137,0.9984019411030299,3.411993980407715,0.9983308416052677,0.4435591697692871,0.9981192832441856,0.34591197967529297,1.0,0.17576360702514648,18,0.16241002082824707,0.0,0.1450023651123047,0.02514990974107374,0.07570862770080566,13.10886260344215,0.004977226257324219,0.002123444851196316,14.784285545349121,0,0,[]
figure_category_basedmarkersize20_n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,500,3,20,0.9808174828341314,0.38927531242370605,0.9845108800122802,0.39668869972229004,0.994154458392289,0.6164393424987793,0.9812204996789913,0.3969252109527588,0.9832484627024137,0.4045083522796631,0.9841313938912958,0.40012168884277344,0.9948352904616891,11.418107748031616,0.9850472336118323,0.384324312210083,0.9914853985882398,0.3697776794433594,0.983859155319021,3.685131549835205,0.9834286602557396,0.4022691249847412,0.9847114186044563,0.4436767101287842,1.0,0.19817495346069336,97,0.11638426780700684,0.0,0.1284630298614502,0.02514990974107374,0.08173108100891113,13.10886260344215,0.012993097305297852,0.0032862404858499715,14.165486335754395,0,0,[]
