Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_descendingmarkersize60_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,60,0.29371262284066346,0.43051576614379883,0.3833888899951654,0.4320104122161865,0.7309699774884159,0.6725821495056152,0.3686023217038241,0.5539448261260986,0.3962016421714888,0.4546198844909668,0.9103690685413005,0.2673039436340332,15930,0.1423661708831787,0.0,0.14201092720031738,0.03019966744837374,0.04734015464782715,5.162416211728187,0.01656961441040039,-,15,0,0,[]
figure_descendingmarkersize100_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,100,0.1988512322143774,0.5359616279602051,0.27876035776440433,0.4267997741699219,0.6774748184628927,0.6420116424560547,0.262304708344516,0.4655776023864746,0.28781979479003994,0.505955696105957,0.7469244288224957,0.22185611724853516,27891,0.20525789260864258,0.0,0.1425948143005371,0.03019966744837374,0.062453269958496094,5.162416211728187,0.0,-,15,2,1,"[{'category': 0, 'number': 1}]"
figure_descendingmarkersize150_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,150,0.13661540707405884,0.5228488445281982,0.20460365051915896,0.4580042362213135,0.6810152315942136,0.6136574745178223,0.1898387288190755,0.5294239521026611,0.2123430916146417,0.5723786354064941,0.5500878734622144,0.22144103050231934,40532,0.1972033977508545,0.0,0.200516939163208,0.03019966744837374,0.06076669692993164,5.162416211728187,0.0,-,15,6,5,"[{'category': 1, 'number': 3}, {'category': 0, 'number': 2}]"
figure_category_basedmarkersize10_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,10,0.48606528270958527,0.4199376106262207,-,15,0.6992317297175183,0.6456525325775146,0.5504730521709398,0.3764777183532715,0.57322543777409,0.3919241428375244,0.8840070298769771,0.20486688613891602,1877,0.15848708152770996,0.01054481546572935,0.19072246551513672,0.02889457376830033,0.07908916473388672,2.6373559831034776,0.006638765335083008,-,15,27,0,[]
figure_category_basedmarkersize60_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,60,0.2122154231205503,0.4117012023925781,0.21929683530948618,0.4332609176635742,0.4003719715593608,0.6790108680725098,0.2536708191662367,0.4321775436401367,0.27548299224486006,0.39542484283447266,0.7082601054481547,0.15771794319152832,14433,0.15751338005065918,0.01054481546572935,0.15956711769104004,0.02889457376830033,0.07828664779663086,2.6373559831034776,0.015619039535522461,-,15,63,2,"[{'category': 0, 'number': 2}]"
figure_category_basedmarkersize100_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,100,0.1646674064236111,0.4863729476928711,0.17097427915882835,0.47867417335510254,0.33402406516482075,0.7149169445037842,0.19874248134377903,0.42382144927978516,0.21857127640639995,0.37528157234191895,0.6221441124780316,0.1586778163909912,21171,0.14283514022827148,0.01054481546572935,0.12900114059448242,0.02889457376830033,0.06315255165100098,2.6373559831034776,0.0,-,15,92,4,"[{'category': 0, 'number': 4}]"
figure_category_basedmarkersize150_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,150,0.12948454769986617,0.5383100509643555,0.13442049134899525,0.5211465358734131,0.2942853718453763,0.6954870223999023,0.1584856287818548,0.5017650127410889,-,15,0.5377855887521968,0.2308940887451172,29405,0.18855881690979004,0.01054481546572935,0.12751436233520508,0.02889457376830033,0.05504417419433594,2.6373559831034776,0.0,-,15,0,0,[]
figure_ascendingmarkersize10_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,10,0.5922059302268146,0.4159519672393799,0.6059582528278487,0.34575843811035156,0.5538377707310397,0.5243968963623047,0.607785623076456,0.400083065032959,0.6060154107290948,0.45995378494262695,0.8840070298769771,0.17426109313964844,1877,0.17476987838745117,0.01054481546572935,0.16036629676818848,0.028894573768300333,0.07393312454223633,2.6373559831034776,0.0038614273071289062,-,15,22,0,[]
figure_ascendingmarkersize60_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,60,0.30005776751128455,2.0095632076263428,0.3065807633750788,2.1011464595794678,0.24148974522563238,4.105532884597778,0.29405329515382295,1.9211642742156982,0.29784995462348185,1.6679401397705078,0.7082601054481547,0.8666849136352539,14433,0.7987596988677979,0.01054481546572935,0.8170781135559082,0.028894573768300333,0.33483338356018066,2.6373559831034776,0.048906564712524414,-,15,24,1,"[{'category': 0, 'number': 1}]"
figure_ascendingmarkersize100_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,100,0.24526364304310644,1.9864134788513184,0.2495536567001445,1.7217190265655518,0.1810110911478523,2.450423240661621,0.23438087432056043,1.5985219478607178,0.23818586441114054,1.7885715961456299,0.6221441124780316,0.7685809135437012,-,15,0.01054481546572935,0.6493539810180664,0.028894573768300333,0.29812073707580566,2.6373559831034776,0.04337477684020996,-,15,28,3,"[{'category': 0, 'number': 3}]"
figure_ascendingmarkersize150_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,150,0.20686478051081802,0.5389120578765869,0.20879361319213796,0.49259352684020996,0.13516437703314066,0.6644253730773926,0.19255726538854434,0.5545969009399414,0.19499294949562884,0.5678291320800781,0.5377855887521968,0.24659967422485352,29405,0.16520166397094727,0.01054481546572935,0.15918517112731934,0.028894573768300333,0.06299996376037598,2.6373559831034776,0.0,-,15,37,4,"[{'category': 0, 'number': 4}]"
figure_descendingmarkersize10_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,10,0.43202965709979213,0.4278266429901123,0.4601865835014626,0.37912583351135254,0.9869762472638136,0.5387485027313232,0.4896806743790507,0.426663875579834,0.5237667007029841,0.47446751594543457,0.8840070298769771,0.15735316276550293,1877,0.1578049659729004,0.01054481546572935,0.2053065299987793,0.028894573768300333,0.07914400100708008,2.6373559831034776,0.0,-,15,22,0,[]
figure_descendingmarkersize60_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,60,0.1648677874719403,0.4586758613586426,0.18810811037461184,0.4479384422302246,1.2474920379458094,0.5828630924224854,0.20033709475705597,0.36524128913879395,0.22896420341327461,0.37705397605895996,0.7082601054481547,0.14400506019592285,14433,0.14148211479187012,0.01054481546572935,0.13226532936096191,0.028894573768300333,0.05866861343383789,2.6373559831034776,0.0,-,15,25,3,"[{'category': 0, 'number': 1}, {'category': 1, 'number': 2}]"
figure_descendingmarkersize100_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,100,-,15,0.14506396880503813,0.432828426361084,1.5346996699894104,0.615504264831543,0.15220104389858014,0.40704965591430664,0.1773757018924419,0.40202784538269043,0.6221441124780316,0.1267561912536621,21171,0.15804052352905273,0.01054481546572935,0.09523582458496094,0.028894573768300333,0.047133684158325195,2.6373559831034776,0.0,-,15,28,3,"[{'category': 0, 'number': 1}, {'category': 1, 'number': 2}]"
figure_descendingmarkersize150_wdbc_class_1_2_umap,wdbc_class_1_2_umap,569,2,150,0.09399768415676579,0.4765005111694336,0.11275958190764901,0.4113590717315674,2.8588602437924315,0.6199948787689209,0.11795040292710435,0.4476323127746582,0.14014044922778346,0.46869516372680664,0.5377855887521968,0.18231773376464844,29405,0.1869490146636963,0.01054481546572935,0.11346793174743652,0.028894573768300333,0.0440676212310791,2.6373559831034776,0.009856939315795898,-,15,31,4,"[{'category': 1, 'number': 3}, {'category': 0, 'number': 1}]"
figure_category_basedmarkersize10_wine_tsne,wine_tsne,178,3,10,0.9099926309603015,0.34426116943359375,0.9075378789254404,0.3974437713623047,0.9267307145656045,0.5689492225646973,0.9274434439930825,0.3292505741119385,0.933306620450749,0.37209582328796387,0.9831460674157303,0.13184595108032227,125,0.12861061096191406,0.0,0.14210247993469238,0.029637124194228703,0.032631874084472656,9.34660041166791,0.0,0.01599698838539303,1.8317692279815674,2,0,[]
figure_category_basedmarkersize60_wine_tsne,wine_tsne,178,3,60,0.6219495363100818,0.3636794090270996,0.6231815046414841,0.37917470932006836,-,15,0.6215790325747673,0.3629915714263916,0.6462049383588653,0.4085693359375,0.9831460674157303,0.12755966186523438,2314,0.17373085021972656,0.0,0.11586880683898926,0.029637124194228703,0.04326605796813965,9.34660041166791,0.014513492584228516,0.03096041954236191,2.0057413578033447,2,0,[]
figure_category_basedmarkersize100_wine_tsne,wine_tsne,178,3,100,0.44251827012823264,0.42515134811401367,0.4399898465503054,0.3628880977630615,0.5788248625958347,0.6007635593414307,0.4399237506144912,0.41162705421447754,0.45480547629172485,0.3941380977630615,0.9775280898876404,0.15321922302246094,5588,0.1153407096862793,0.0,0.1288316249847412,0.029637124194228703,0.03917384147644043,9.34660041166791,0.00553584098815918,0.03896486409241626,2.2323598861694336,2,0,[]
figure_category_basedmarkersize150_wine_tsne,wine_tsne,178,3,150,0.3056725571189488,0.5069384574890137,0.29475143116515934,0.3960225582122803,0.41989413172405765,0.6594393253326416,0.29453127454134087,0.4601931571960449,0.3011638966323418,0.4896218776702881,0.9662921348314607,0.2083444595336914,12506,0.1750180721282959,0.0,0.18999671936035156,0.029637124194228703,0.06392073631286621,9.34660041166791,0.0,0.0495918813560309,2.9649651050567627,2,0,[]
figure_ascendingmarkersize10_wine_tsne,wine_tsne,178,3,10,0.910395394280068,0.38035011291503906,0.9075589849814395,0.3611879348754883,0.9270679797190143,0.5382964611053467,0.9274730582812999,0.33997488021850586,-,15,0.9831460674157303,0.12549448013305664,125,0.14196276664733887,0.0,0.14236903190612793,0.02963712419422871,0.032086849212646484,9.34660041166791,0.0,0.01599698838539303,2.161841869354248,0,0,[]
figure_ascendingmarkersize60_wine_tsne,wine_tsne,178,3,60,0.6440813259603169,0.4744126796722412,0.6268733934064217,0.41109609603881836,0.6965979470064423,0.6486444473266602,0.6684555723080539,0.4080698490142822,0.6810158854011813,0.4102463722229004,0.9831460674157303,0.19071745872497559,2314,0.15859603881835938,0.0,0.15813302993774414,0.02963712419422871,0.04747438430786133,9.34660041166791,0.0,0.03096041954236191,2.2311387062072754,1,0,[]
